trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2022-11-23,801120.SI,食品饮料,20092.94,20002.95,20236.9,20105.39,-69.57,-0.34,90325.0,2193523.0,30.08,5.79,222150274.0,536910224.26786
2022-11-24,801120.SI,食品饮料,20218.28,19833.54,20316.66,19886.57,-218.82,-1.09,74717.0,2203217.0,29.75,5.73,219763901.0,530824328.147199
2022-11-25,801120.SI,食品饮料,19890.67,19729.59,19982.51,19875.77,-10.8,-0.05,67650.0,1843174.0,29.73,5.73,219652660.0,530434815.16671
2022-11-28,801120.SI,食品饮料,19467.19,19157.62,19897.42,19868.74,-7.03,-0.04,99407.0,3260825.0,29.72,5.72,219575253.0,529859092.802855
2022-11-29,801120.SI,食品饮料,20287.52,20221.89,20766.45,20754.27,885.53,4.46,122653.0,4850196.0,31.05,5.98,229361538.0,553223063.717549
2022-11-30,801120.SI,食品饮料,20642.23,20587.62,20880.67,20723.16,-31.11,-0.15,94745.0,3011562.0,31.0,5.97,229017697.0,552305339.542735
2022-12-01,801120.SI,食品饮料,21473.32,21386.64,21775.73,21401.0,677.84,3.27,180117.0,5982203.0,32.03,6.16,236761435.0,569817933.404541
2022-12-02,801120.SI,食品饮料,21396.09,21319.11,21674.88,21440.55,39.55,0.18,165170.0,4072765.0,32.09,6.17,237199186.0,571274867.645062
2022-12-05,801120.SI,食品饮料,21860.54,21737.61,22008.79,21847.33,406.78,1.9,166164.0,4821785.0,32.7,6.29,241694004.0,582024770.37641
2022-12-06,801120.SI,食品饮料,21744.35,21744.35,22781.53,22356.65,509.31,2.33,177981.0,6159578.0,33.46,6.44,247328702.0,595902054.804342
2022-12-07,801120.SI,食品饮料,22282.9,22165.65,22777.97,22399.31,42.66,0.19,155562.0,4790687.0,33.52,6.45,247800603.0,596931376.362728
2022-12-08,801120.SI,食品饮料,22354.99,22229.46,22499.06,22398.48,-0.83,0.0,129514.0,3501702.0,33.52,6.45,247791425.0,596656145.279334
2022-12-09,801120.SI,食品饮料,22413.85,22272.3,22989.43,22987.65,589.17,2.63,172424.0,5744995.0,34.4,6.62,254309344.0,611694867.344621
2022-12-12,801120.SI,食品饮料,22844.78,22763.15,23164.95,22799.04,-188.61,-0.82,157809.0,4515157.0,34.12,6.56,252238342.0,607097849.423374
2022-12-13,801120.SI,食品饮料,22766.62,22644.2,23107.42,23001.32,202.28,0.89,183589.0,4141199.0,34.42,6.62,254479228.0,612984142.212457
2022-12-14,801120.SI,食品饮料,22928.38,22923.06,23590.58,23480.0,478.68,2.08,214690.0,5610990.0,35.14,6.76,259778281.0,625691240.664102
2022-12-15,801120.SI,食品饮料,23658.05,23234.0,23750.82,23299.43,-180.57,-0.77,188032.0,4698077.0,34.87,6.71,257780447.0,621115754.814331
2022-12-16,801120.SI,食品饮料,23140.83,23008.74,23414.31,23388.88,89.45,0.38,150525.0,3810736.0,35.0,6.73,258777497.0,623275539.236742
2022-12-19,801120.SI,食品饮料,23441.51,23037.68,23513.36,23129.1,-259.78,-1.11,165507.0,3749626.0,34.62,6.66,255908032.0,616327380.148729
2022-12-20,801120.SI,食品饮料,23054.1,22075.31,23054.1,22331.24,-797.86,-3.45,148943.0,4663140.0,33.42,6.43,247083395.0,595328653.137393
2022-12-21,801120.SI,食品饮料,22488.14,22488.14,22679.92,22621.39,290.15,1.3,149801.0,3390372.0,33.86,6.51,250295705.0,603073990.702082
2022-12-22,801120.SI,食品饮料,22809.14,22762.86,23297.64,23002.28,380.89,1.68,180948.0,4462989.0,34.43,6.62,254510039.0,613191009.434761
2022-12-23,801120.SI,食品饮料,22815.49,22792.97,23344.83,23138.97,136.69,0.59,172350.0,3988307.0,34.63,6.66,256023237.0,617044431.834094
2022-12-26,801120.SI,食品饮料,23144.43,22791.66,23172.94,22852.57,-286.4,-1.24,164766.0,3598325.0,34.2,6.58,252854357.0,609589093.015377
2022-12-27,801120.SI,食品饮料,22939.97,22838.94,23202.02,23050.76,198.19,0.87,181608.0,3779648.0,34.5,6.63,255210115.0,614186981.128433
2022-12-28,801120.SI,食品饮料,23042.28,22781.09,23042.28,22980.48,-70.28,-0.3,179533.0,3764230.0,34.39,6.61,254467716.0,612495131.194749
2022-12-29,801120.SI,食品饮料,22794.38,22583.86,22872.74,22783.08,-197.4,-0.86,171939.0,3571812.0,34.1,6.56,252281902.0,607231663.368342
2022-12-30,801120.SI,食品饮料,22914.33,22823.33,23075.08,22956.3,173.22,0.76,190999.0,3754191.0,34.36,6.61,254199993.0,611968974.485896
2023-01-03,801120.SI,食品饮料,22958.03,22491.83,22958.22,22685.87,-270.43,-1.18,190632.0,4361389.0,33.95,6.53,251205915.0,604553137.419309
2023-01-04,801120.SI,食品饮料,22659.84,22583.05,22862.58,22688.24,2.37,0.01,183538.0,3542015.0,33.96,6.53,251232136.0,604373877.17893
2023-01-05,801120.SI,食品饮料,22847.37,22847.37,23662.76,23611.09,922.85,4.07,182332.0,5610613.0,35.34,6.8,261501222.0,629028172.353949
2023-01-06,801120.SI,食品饮料,23654.74,23325.19,23669.47,23574.89,-36.2,-0.15,182849.0,4442867.0,35.28,6.79,261090028.0,628205475.662147
2023-01-09,801120.SI,食品饮料,23774.87,23526.76,24138.43,24056.41,481.52,2.04,168353.0,5023924.0,36.01,6.92,266426263.0,641173948.446107
2023-01-10,801120.SI,食品饮料,24030.37,23948.83,24306.22,24193.78,137.37,0.57,153718.0,4251632.0,36.21,6.96,267981753.0,644386301.519084
2023-01-11,801120.SI,食品饮料,24198.94,23930.54,24251.57,24037.66,-156.12,-0.65,148373.0,3677610.0,35.98,6.92,266287974.0,639943765.182424
2023-01-12,801120.SI,食品饮料,24083.88,23818.01,24138.99,23868.42,-169.24,-0.7,139548.0,3264568.0,35.72,6.87,264413194.0,635644368.20813
2023-01-13,801120.SI,食品饮料,23917.76,23917.76,24553.87,24529.91,661.49,2.77,144800.0,4481322.0,36.72,7.06,271741203.0,654238113.374111
2023-01-16,801120.SI,食品饮料,24602.85,24602.85,25289.89,24996.76,466.85,1.9,160788.0,5638882.0,37.42,7.2,276912941.0,666430699.429843
2023-01-17,801120.SI,食品饮料,25009.89,24635.23,25009.89,24770.48,-226.28,-0.91,128494.0,3731366.0,37.08,7.13,274406255.0,660205816.833845
2023-01-18,801120.SI,食品饮料,24831.64,24485.86,25057.36,24530.42,-240.06,-0.97,105688.0,3488958.0,36.72,7.06,271746844.0,654397785.73152
2023-01-19,801120.SI,食品饮料,24530.64,24209.38,24530.67,24425.06,-105.36,-0.43,101459.0,3223157.0,36.56,7.03,270579682.0,650963186.129332
2023-01-20,801120.SI,食品饮料,24555.86,24301.34,24736.84,24334.02,-91.04,-0.37,88822.0,3231256.0,36.42,7.0,269571186.0,648098398.985269
2023-01-30,801120.SI,食品饮料,24903.35,24582.46,24908.42,24744.34,410.32,1.69,139729.0,5071383.0,37.04,7.12,274120405.0,657832573.257117
